sku,instanceType,vcpu,memory,region,price
3898,33,64,128.0,69,10.432
5610,255,48,384.0,4,0.0
5485,611,4,32.0,39,0.0
1626,665,48,384.0,18,4.06704
1139,353,8,32.0,12,3.584
2441,354,16,64.0,5,0.0
3126,89,64,128.0,44,0.0
3461,151,32,64.0,30,1.61196
6160,421,32,128.0,15,0.0
1743,626,16,128.0,26,3.78264
1846,198,8,15.0,27,0.702
4741,538,64,512.0,26,6.138
6279,66,8,16.0,28,0.3232
6182,618,32,256.0,44,6.6624
6193,253,2,15.25,4,0.0
6682,566,32,256.0,0,15.216
6135,382,96,384.0,29,16.3584
2422,620,4,32.0,9,0.37818
5938,472,2,8.0,10,0.1873
5287,521,48,384.0,19,0.0
5131,407,64,256.0,30,27.584
6431,108,96,192.0,30,8.0736
2059,515,64,488.0,12,0.0
5517,667,96,768.0,12,19.1808
504,33,64,128.0,71,0.0
1182,187,4,32.0,17,0.626
1344,44,16,32.0,86,0.96
4265,525,16,128.0,46,3.281
3653,399,64,256.0,22,3.2256
3308,93,16,32.0,44,0.76608
4531,346,16,64.0,1,2.968
4925,81,64,128.0,45,2.90304
869,608,16,128.0,48,0.0
4336,666,64,512.0,16,6.1888
2029,476,96,384.0,17,6.048
4929,92,128,256.0,18,53.3312
2715,665,48,384.0,31,9.1368
3991,470,16,64.0,89,6.76608
4540,343,64,256.0,19,11.968
2432,630,48,384.0,1,0.0
778,365,4,16.0,19,0.0
3480,767,96,1536.0,26,13.1088
4148,582,192,1536.0,11,10.1088
6907,707,4,16.0,53,0.0
4231,335,64,256.0,0,4.57
806,665,48,384.0,57,10.8252
6377,676,8,64.0,26,0.0
5582,409,8,32.0,45,0.5384
1510,414,4,16.0,47,0.264
5982,559,2,16.0,17,0.0
6868,256,96,768.0,10,24.528
4256,726,448,24576.0,0,0.0
4761,41,72,144.0,88,12.96
4019,8,32,60.0,69,2.288
3221,533,16,128.0,0,3.008
3952,6,8,15.0,27,0.0
888,611,4,32.0,27,0.762
5747,707,4,16.0,15,0.2756
6530,117,96,192.0,27,0.0
3114,39,4,8.0,27,0.0
5708,99,96,192.0,44,7.39056
6311,670,16,128.0,17,1.5388
4954,609,32,256.0,18,0.0
2637,19,8,16.0,41,0.0
475,580,8,64.0,69,0.0
514,122,32,64.0,26,0.0
2037,551,2,16.0,22,0.0
2018,606,8,64.0,28,0.7272
2307,267,48,384.0,33,5.352
6938,363,32,128.0,19,3.341
4113,201,16,122.0,15,1.42
3954,403,2,8.0,31,0.096
2194,259,24,192.0,6,3.252
1174,475,64,256.0,33,27.5952
3418,535,2,16.0,69,0.113
4532,659,64,512.0,26,5.2315
3799,520,4,30.5,1,0.3876
6973,106,48,96.0,88,0.0
601,29,32,64.0,1,5.312
5602,337,8,32.0,28,0.0
5465,618,32,256.0,17,2.784
6970,422,2,8.0,19,0.0
3348,643,128,1024.0,71,57.7376
1220,474,48,192.0,69,2.4192
6804,537,48,384.0,28,3.696
4726,102,16,32.0,1,0.0
4589,219,64,128.0,16,0.0
55,325,4,16.0,12,0.0
3779,357,4,16.0,22,0.32
685,208,8,32.0,30,0.879
419,407,64,256.0,47,0.0
5661,423,4,16.0,11,1.7562
804,569,48,384.0,19,4.344
537,477,8,32.0,15,0.4956
298,447,192,768.0,19,14.37408
3379,618,32,256.0,18,0.0
5001,427,8,32.0,69,0.77168
3223,151,32,64.0,69,0.0
3258,730,448,9216.0,1,151.91
6620,425,64,256.0,17,0.0
5671,750,64,1024.0,22,15.016
6811,437,128,512.0,19,26.81664
2106,273,32,256.0,23,6.867
5646,542,32,256.0,19,2.544
6850,258,12,96.0,4,1.79
1946,47,4,8.0,66,0.0
2628,329,8,32.0,43,0.545
299,46,2,4.0,48,0.0
2175,758,32,1024.0,69,0.0
4157,605,96,768.0,11,0.0
1215,750,64,1024.0,11,0.0
5440,251,16,122.0,31,3.224
212,271,128,1024.0,6,15.328
441,340,2,8.0,17,0.108
861,758,32,1024.0,27,8.5438
2959,130,32,64.0,89,1.16
1385,629,4,32.0,31,0.89418
4472,633,8,64.0,1,1.79772
3512,609,32,256.0,27,14.256
1342,114,4,8.0,44,0.26902
3296,544,4,32.0,16,0.0
1350,329,8,32.0,5,0.404
1947,36,16,32.0,47,6.864
5769,331,32,128.0,66,0.0
6267,770,2,32.0,89,0.0
4842,547,96,768.0,69,18.672
6791,382,96,384.0,88,40.8384
1272,271,128,1024.0,4,62.5024
2672,604,64,512.0,29,4.736
2675,609,32,256.0,45,2.6576
2015,665,48,384.0,15,3.8304
1486,606,8,64.0,16,0.7432
5814,402,32,128.0,39,1.9184
1822,713,2,2.0,0,0.022
1684,26,96,192.0,31,0.0
5945,91,8,16.0,16,0.0
848,51,36,96.0,69,6.264
5678,327,64,256.0,17,0.0
3917,87,4,8.0,57,0.266
688,210,32,128.0,4,3.351
412,195,8,122.0,27,1.815
1427,537,48,384.0,30,0.0
5878,654,32,256.0,6,0.0
1526,11,8,15.0,16,0.0
2424,357,4,16.0,39,0.367
6453,604,64,512.0,57,14.112
1968,313,1,6.0,27,0.0
3443,669,192,1536.0,0,0.0
3023,269,96,768.0,17,0.0
1269,549,16,128.0,22,0.0
3016,756,128,4096.0,89,0.0
2268,626,16,128.0,71,0.0
2331,192,32,128.0,26,0.0
1125,25,64,128.0,69,26.464
203,92,128,256.0,2,22.656
5726,271,128,1024.0,9,0.0
828,523,96,768.0,2,44.064
5662,91,8,16.0,47,0.0
77,560,4,32.0,63,0.36
5148,570,64,512.0,27,5.344
1305,26,96,192.0,2,0.0
6204,52,2,5.25,31,0.0
3661,572,8,64.0,26,1.672
1413,671,32,256.0,28,3.0272
4200,92,128,256.0,29,8.6272
362,271,128,1024.0,16,28.5248
6529,735,896,32768.0,69,376.12935
1493,368,96,384.0,26,8.39
4914,51,36,96.0,31,0.0
1335,345,8,32.0,71,3.412
5554,255,48,384.0,15,6.384
309,121,16,32.0,28,0.97568
4355,576,4,32.0,28,0.418
4137,206,48,192.0,1,4.931
942,42,96,192.0,28,41.52
4837,467,48,192.0,15,3.63624
3100,101,128,256.0,9,54.39744
4927,459,1,4.0,5,0.0292
4747,61,32,64.0,69,0.0
119,112,32,64.0,0,14.184
4024,28,16,32.0,57,6.944
79,26,96,192.0,17,16.32
6011,474,48,192.0,33,8.4564
81,81,64,128.0,9,2.69312
5843,514,4,30.5,11,1.88
2388,520,4,30.5,19,0.3876
5099,3,1,2.0,19,0.0321
1731,332,2,8.0,89,0.0
3427,707,4,16.0,89,0.6464
6790,617,16,128.0,33,0.0
5533,512,32,244.0,17,15.2
2884,268,64,512.0,12,6.442
3363,157,8,16.0,27,0.51824
4167,354,16,64.0,0,0.0
3575,111,16,32.0,15,7.0248
3229,109,8,16.0,12,0.0
479,107,64,128.0,88,4.536
2799,416,64,256.0,71,11.4768
4079,678,16,128.0,71,1.488
1811,388,2,8.0,30,0.5808
6265,256,96,768.0,27,23.52
1195,275,4,32.0,0,1.914
5188,318,1,3.75,88,0.077
2639,184,8,64.0,71,3.999
2336,382,96,384.0,71,4.1472
1592,724,448,12288.0,26,139.3042
6527,101,128,256.0,89,8.6144
758,130,32,64.0,22,1.265
231,373,4,16.0,71,0.0
2699,756,128,4096.0,17,0.0
