sku,instanceType,vcpu,memory,region,price
17,2,96.0,672.0,33,6.768
17,2,96.0,672.0,33,34387.0
17,2,96.0,672.0,33,65809.0
24,4,48.0,384.0,53,5.71
24,4,48.0,384.0,53,29518.0
24,4,48.0,384.0,53,52531.0
0,1,16.0,64.0,31,1.744
0,1,16.0,64.0,31,1.008
3,0,48.0,192.0,8,2.568
3,0,48.0,192.0,8,13272.0
3,0,48.0,192.0,8,24970.0
7,0,96.0,384.0,20,5.376
7,0,96.0,384.0,20,27785.0
7,0,96.0,384.0,20,52274.0
8,3,104.0,672.0,51,13.505
8,3,104.0,672.0,51,8.721
14,3,4.0,32.0,53,0.488
14,3,4.0,32.0,53,0.304
16,2,8.0,64.0,12,0.668
16,2,8.0,64.0,12,3452.0
16,2,8.0,64.0,12,6495.0
8,2,104.0,672.0,54,9.225
8,2,104.0,672.0,54,47680.0
8,2,104.0,672.0,54,89702.0
14,2,4.0,32.0,37,0.296
14,2,4.0,32.0,37,1504.0
14,2,4.0,32.0,37,2878.0
22,4,176.0,1536.0,13,16.11
22,4,176.0,1536.0,13,83253.0
22,4,176.0,1536.0,13,148162.0
9,2,16.0,128.0,18,1.216
9,2,16.0,128.0,18,6285.0
9,2,16.0,128.0,18,11824.0
0,0,16.0,64.0,43,0.856
0,0,16.0,64.0,43,4424.0
0,0,16.0,64.0,43,8323.0
13,3,48.0,384.0,26,5.328
13,3,48.0,384.0,26,3.12
26,4,64.0,512.0,32,5.85984
26,4,64.0,512.0,32,30286.0
26,4,64.0,512.0,32,53899.0
5,0,64.0,256.0,40,3.686
5,0,64.0,256.0,40,19053.0
5,0,64.0,256.0,40,35845.0
8,3,104.0,672.0,29,12.609
8,3,104.0,672.0,29,7.825
22,4,176.0,1536.0,57,16.11456
22,4,176.0,1536.0,57,83286.0
22,4,176.0,1536.0,57,148222.0
8,3,104.0,672.0,44,12.449
8,3,104.0,672.0,44,7.665
0,1,16.0,64.0,2,1.696
0,1,16.0,64.0,2,0.96
11,3,2.0,16.0,49,0.247
11,3,2.0,16.0,49,0.155
25,4,64.0,1397.0,41,29.872128
25,4,64.0,1397.0,41,154391.0
25,4,64.0,1397.0,41,274764.0
3,1,48.0,192.0,2,5.088
3,1,48.0,192.0,2,2.88
28,4,96.0,768.0,32,8.78976
28,4,96.0,768.0,32,45429.0
28,4,96.0,768.0,32,80848.0
15,3,64.0,512.0,56,6.976
15,3,64.0,512.0,56,4.032
2,0,32.0,128.0,44,1.632
2,0,32.0,128.0,44,8435.0
2,0,32.0,128.0,44,15869.0
23,5,32.0,256.0,40,4.99
23,5,32.0,256.0,40,3.51
13,3,48.0,384.0,34,6.221
13,3,48.0,384.0,34,4.013
11,3,2.0,16.0,52,0.243
11,3,2.0,16.0,52,0.151
8,3,104.0,672.0,47,17.202
8,3,104.0,672.0,47,12.418
7,1,96.0,384.0,25,9.264
7,1,96.0,384.0,25,4.848
28,5,96.0,768.0,10,14.34875
28,5,96.0,768.0,10,9.93275
17,3,96.0,672.0,49,11.861
17,3,96.0,672.0,49,7.445
16,3,8.0,64.0,35,1.237
16,3,8.0,64.0,35,0.869
15,3,64.0,512.0,44,7.232
15,3,64.0,512.0,44,4.288
3,0,48.0,192.0,1,2.88
3,0,48.0,192.0,1,14885.0
3,0,48.0,192.0,1,28004.0
12,3,32.0,256.0,30,3.69
12,3,32.0,256.0,30,2.218
20,5,16.0,128.0,14,2.2
20,5,16.0,128.0,14,1.46
19,4,128.0,1024.0,13,11.71
19,4,128.0,1024.0,13,60547.0
19,4,128.0,1024.0,13,107753.0
7,1,96.0,384.0,18,9.936
7,1,96.0,384.0,18,5.52
27,4,96.0,1946.0,53,44.81
27,4,96.0,1946.0,53,231587.0
27,4,96.0,1946.0,53,412146.0
5,1,64.0,256.0,34,6.992
5,1,64.0,256.0,34,4.048
15,3,64.0,512.0,41,7.808
15,3,64.0,512.0,41,4.864
12,2,32.0,256.0,11,2.822
12,2,32.0,256.0,11,14538.0
12,2,32.0,256.0,11,27444.0
0,0,16.0,64.0,49,0.942
0,0,16.0,64.0,49,4867.0
0,0,16.0,64.0,49,9156.0
12,3,32.0,256.0,22,3.84
12,3,32.0,256.0,22,2.368
21,5,176.0,3892.0,10,79.098454
21,5,176.0,3892.0,10,71.002454
21,4,176.0,3892.0,40,75.4
21,4,176.0,3892.0,40,389689.0
21,4,176.0,3892.0,40,693514.0
23,5,32.0,256.0,44,5.574001
23,5,32.0,256.0,44,4.102001
12,2,32.0,256.0,6,4.181
12,2,32.0,256.0,6,21608.0
12,2,32.0,256.0,6,40652.0
3,1,48.0,192.0,54,5.157
3,1,48.0,192.0,54,2.949
28,5,96.0,768.0,57,13.20576
28,5,96.0,768.0,57,8.78976
1,0,2.0,8.0,4,0.115
1,0,2.0,8.0,4,594.0
1,0,2.0,8.0,4,1118.0
8,3,104.0,672.0,50,13.25
8,3,104.0,672.0,50,8.466
24,5,48.0,384.0,32,6.60288
24,5,48.0,384.0,32,4.39488
8,3,104.0,672.0,18,13.478
8,3,104.0,672.0,18,8.694
9,2,16.0,128.0,13,1.008
9,2,16.0,128.0,13,5210.0
9,2,16.0,128.0,13,9801.0
15,2,64.0,512.0,3,5.242
15,2,64.0,512.0,3,27091.0
15,2,64.0,512.0,3,50967.0
0,1,16.0,64.0,16,1.901
0,1,16.0,64.0,16,1.165
13,2,48.0,384.0,39,5.242
13,2,48.0,384.0,39,27091.0
13,2,48.0,384.0,39,50967.0
12,3,32.0,256.0,14,3.488
12,3,32.0,256.0,14,2.016
15,3,64.0,512.0,37,7.68
15,3,64.0,512.0,37,4.736
25,4,64.0,1397.0,14,22.98
25,4,64.0,1397.0,14,118762.0
25,4,64.0,1397.0,14,211357.0
11,3,2.0,16.0,2,0.243
11,3,2.0,16.0,2,0.151
10,2,20.0,160.0,21,1.48
10,2,20.0,160.0,21,7649.0
10,2,20.0,160.0,21,14391.0
13,3,48.0,384.0,0,5.832
13,3,48.0,384.0,0,3.624
12,2,32.0,256.0,9,2.08
12,2,32.0,256.0,9,10750.0
12,2,32.0,256.0,9,20225.0
9,3,16.0,128.0,49,1.977
9,3,16.0,128.0,49,1.241
13,2,48.0,384.0,37,3.552
13,2,48.0,384.0,37,18047.0
13,2,48.0,384.0,37,34538.0
1,0,2.0,8.0,21,0.112
1,0,2.0,8.0,21,579.0
1,0,2.0,8.0,21,1089.0
16,2,8.0,64.0,1,0.604
16,2,8.0,64.0,1,3122.0
16,2,8.0,64.0,1,5873.0
14,3,4.0,32.0,21,0.48
14,3,4.0,32.0,21,0.296
3,1,48.0,192.0,27,5.04
3,1,48.0,192.0,27,2.832
3,1,48.0,192.0,46,5.244
3,1,48.0,192.0,46,1.518
8,2,104.0,672.0,57,7.207
8,2,104.0,672.0,57,37250.0
8,2,104.0,672.0,57,71974.0
16,3,8.0,64.0,54,1.013
16,3,8.0,64.0,54,0.645
2,0,32.0,128.0,37,1.883
2,0,32.0,128.0,37,9733.0
2,0,32.0,128.0,37,18806.0
8,2,104.0,672.0,21,8.466
8,2,104.0,672.0,21,43754.0
8,2,104.0,672.0,21,82316.0
1,0,2.0,8.0,30,0.106
1,0,2.0,8.0,30,546.0
1,0,2.0,8.0,30,1027.0
0,1,16.0,64.0,23,1.728
0,1,16.0,64.0,23,0.992
6,0,8.0,32.0,56,0.384
6,0,8.0,32.0,56,1985.0
6,0,8.0,32.0,56,3734.0
15,2,64.0,512.0,40,4.838
15,2,64.0,512.0,40,25007.0
15,2,64.0,512.0,40,47047.0
16,2,8.0,64.0,20,0.592
16,2,8.0,64.0,20,3060.0
16,2,8.0,64.0,20,5756.0
0,0,16.0,64.0,21,0.896
0,0,16.0,64.0,21,4631.0
0,0,16.0,64.0,21,8712.0
16,3,8.0,64.0,51,0.978
16,3,8.0,64.0,51,0.61
17,3,96.0,672.0,25,10.656
17,3,96.0,672.0,25,6.24
17,3,96.0,672.0,8,11.04
17,3,96.0,672.0,8,6.624
3,1,48.0,192.0,15,4.896
3,1,48.0,192.0,15,2.688
18,4,128.0,2794.0,40,55.15
18,4,128.0,2794.0,40,285030.0
18,4,128.0,2794.0,40,507256.0
10,3,20.0,160.0,57,2.18
10,3,20.0,160.0,57,1.26
2,0,32.0,128.0,15,1.792
2,0,32.0,128.0,15,9262.0
2,0,32.0,128.0,15,17425.0
20,4,16.0,128.0,53,1.9
20,4,16.0,128.0,53,9842.0
20,4,16.0,128.0,53,17515.0
14,3,4.0,32.0,32,0.436
14,3,4.0,32.0,32,0.252
7,0,96.0,384.0,12,6.336
7,0,96.0,384.0,12,32747.0
7,0,96.0,384.0,12,61609.0
6,0,8.0,32.0,41,0.48
6,0,8.0,32.0,41,2397.0
6,0,8.0,32.0,41,4667.0
3,1,48.0,192.0,21,4.896
3,1,48.0,192.0,21,2.688
23,5,32.0,256.0,41,5.280896
23,5,32.0,256.0,41,3.808896
3,1,48.0,192.0,43,4.776
3,1,48.0,192.0,43,2.568
6,0,8.0,32.0,1,0.48
6,0,8.0,32.0,1,2481.0
6,0,8.0,32.0,1,4667.0
6,1,8.0,32.0,0,0.848
6,1,8.0,32.0,0,0.48
11,2,2.0,16.0,35,0.217
11,2,2.0,16.0,35,1123.0
11,2,2.0,16.0,35,2114.0
1,0,2.0,8.0,37,0.118
1,0,2.0,8.0,37,608.0
1,0,2.0,8.0,37,1175.0
